ID,Segment ID,Roadway Name,From,To,Direction,Date,12:00-1:00 AM,1:00-2:00AM,2:00-3:00AM,3:00-4:00AM,4:00-5:00AM,5:00-6:00AM,6:00-7:00AM,7:00-8:00AM,8:00-9:00AM,9:00-10:00AM,10:00-11:00AM,11:00-12:00PM,12:00-1:00PM,1:00-2:00PM,2:00-3:00PM,3:00-4:00PM,4:00-5:00PM,5:00-6:00PM,6:00-7:00PM,7:00-8:00PM,8:00-9:00PM,9:00-10:00PM,10:00-11:00PM,11:00-12:00AM
65,81815,63 Drive,Wetherole St.,Booth Street,SB,09/21/2019,55,30,22,18,28,12,32,55,95,127,150,169,193,206,216,228,227,226,234,209,189,132,132,95
66,19566,65 Street,10 Avenue,11 Avenue,EB,09/21/2019,457,289,223,198,169,168,239,333,464,576,510,638,717,738,717,888,845,794,1026,882,699,872,776,659
66,19566,65 Street,10 Avenue,11 Avenue,WB,09/21/2019,166,124,99,139,171,331,544,806,880,806,723,759,674,688,729,789,671,752,672,633,513,412,392,291
67,20157,65 Street,18 Avenue,19 Avenue,EB,09/21/2019,291,174,128,120,79,126,131,248,351,474,582,606,576,670,577,628,655,752,801,775,615,597,528,378
67,20157,65 Street,18 Avenue,19 Avenue,WB,09/21/2019,197,124,98,95,77,117,222,368,595,615,643,662,847,599,627,627,552,504,564,502,445,421,332,347
71,96615,73 Avenue,194 Street,195 Street,WB,09/21/2019,42,19,12,9,5,10,40,84,171,224,264,317,355,315,340,332,335,288,280,217,177,125,101,79
71,96615,73 Avenue,194 Street,195 Street,EB,09/21/2019,26,13,6,7,7,5,27,89,162,186,211,218,244,273,245,250,214,233,233,179,127,103,79,57
75,19461,8 Avenue,67 Street,68 Street,NB,09/21/2019,107,78,39,28,35,59,149,243,370,483,438,566,526,457,419,313,412,312,262,222,184,126,110,101
75,19461,8 Avenue,67 Street,68 Street,SB,09/21/2019,106,41,30,28,38,34,38,88,196,375,315,329,274,339,228,196,295,203,280,227,238,183,121,111
77,52297,80 Street,68 Avenue,68 Road,NB,09/21/2019,103,80,42,34,35,67,145,211,293,408,467,447,441,474,402,398,443,409,404,351,299,269,228,147
77,52297,80 Street,68 Avenue,68 Road,SB,09/21/2019,165,120,70,49,55,68,118,229,337,464,536,652,719,675,731,761,803,706,679,663,468,371,316,264
82,112136,Amboy Road,3 Street,Dale Ave,NB,09/21/2019,105,67,44,39,48,117,189,312,461,557,550,609,592,557,486,483,519,510,506,420,345,274,238,204
82,112136,Amboy Road,2 Street,Dale Ave.,SB,09/21/2019,97,57,36,28,15,30,66,110,208,304,347,402,396,407,366,415,357,356,301,314,223,168,174,166
87,22924,Atlantic Avenue,3 Avenue,4 Avenue,WB,09/21/2019,201,240,228,170,292,426,553,813,959,899,1004,979,998,1098,1054,1032,1030,1140,1091,1089,800,782,760,571
87,22924,Atlantic Avenue,3 Avenue,4 Avenue,EB,09/21/2019,290,234,235,188,288,461,643,805,862,1078,1026,1028,1043,1144,1170,1121,1122,1230,1110,1015,893,883,841,688
91,70892,Audubon Ave,West  166 St,West 167 St,NB,09/21/2019,42,29,21,12,28,21,44,59,62,39,35,58,57,89,92,74,72,61,45,71,71,65,49,49
91,70892,Audubon Ave,West 166 St,West 167 St,SB,09/21/2019,43,68,37,18,28,35,48,53,77,70,58,73,76,105,91,97,80,97,70,73,113,83,69,55
92,70931,Audubon Ave,West 172 St,West 173 St,NB,09/21/2019,67,35,41,52,35,17,45,42,44,64,65,84,109,90,116,137,166,174,172,138,118,111,102,91
92,70931,Audubon Ave,West 172 St,West 173 St,SB,09/21/2019,61,52,62,76,83,74,105,111,96,138,106,107,131,178,274,234,195,210,202,199,158,210,197,136
94,27017,Avenue J,East 12 Street,East 13 Street,EB,09/21/2019,83,57,46,45,40,55,55,95,131,157,173,207,195,222,190,252,199,260,279,276,271,242,267,223
94,27017,Avenue J,East 12 Street,East 13 Street,WB,09/21/2019,121,83,53,40,51,66,97,139,168,214,256,208,263,268,267,256,278,276,353,275,262,233,239,200
95,27147,Avenue M,Brighton Line,East 16 Street,EB,09/21/2019,72,49,57,45,18,32,89,164,172,176,184,184,195,228,209,215,236,226,229,220,221,215,169,132
95,27147,Avenue M,Brighton Line,East 16 Street,WB,09/21/2019,39,36,33,43,47,70,134,187,220,187,210,218,194,187,199,197,232,208,175,166,146,170,165,147
96,27120,Avenue N,East 15 Street,Brighton Line,EB,09/21/2019,145,131,94,62,71,59,92,187,183,256,310,313,356,354,355,413,378,476,555,574,589,468,378,365
99,26964,Avenue P,East 12 Street,East 13 Street,EB,09/21/2019,114,66,79,47,64,52,87,150,173,248,235,303,286,343,325,292,333,345,443,387,393,299,276,222
99,26964,Avenue P,East 12 Street,East 13 Street,WB,09/21/2019,100,83,49,47,62,60,136,177,317,398,416,400,420,462,437,483,447,463,554,524,437,364,378,303
106,20147,Bay Ridge Avenue,19 Avenue,20 Avenue,EB,09/21/2019,38,25,16,10,12,21,28,47,63,111,129,117,174,158,161,180,189,170,128,124,98,81,63,61
108,15736,Bay St,William St,Congress St,NB,09/21/2019,115,91,69,64,68,114,137,216,258,328,384,326,381,393,366,398,402,381,340,354,259,245,194,196
108,15736,Bay St,William St,Congress St,SB,09/21/2019,169,147,83,76,89,127,133,303,436,435,533,509,537,635,552,551,618,575,534,449,376,338,278,353
110,15540,Beach St,Union Pl,Van Duzer St,EB,09/21/2019,52,31,24,27,15,23,24,46,70,89,123,96,115,121,125,142,122,108,124,91,98,78,64,62
110,15540,Beach St,Union Pl,Van Duzer St,WB,09/21/2019,55,38,29,27,21,30,39,69,92,148,161,142,167,149,191,191,160,154,185,149,129,120,88,65
117,98338,Bell Boulevard,45 Drive,46 Avenue,NB,09/21/2019,66,44,25,15,18,28,44,113,198,343,337,385,455,421,321,335,281,310,321,263,175,164,133,102
117,98338,Bell Boulevard,45 Drive,46 Avenue,SB,09/21/2019,92,59,30,24,21,17,38,106,229,275,341,436,450,439,440,436,396,433,398,386,295,268,160,113
119,91014,Booth Memorial Ave.,College Point Boulevard,133 Street,EB,09/21/2019,289,186,89,45,32,36,46,117,161,235,213,246,283,344,343,380,336,382,341,326,330,295,233,199
119,91014,Booth Memorial Ave.,College Point Boulevard,133 Street,WB,09/21/2019,167,134,90,65,49,44,100,180,306,365,475,460,494,439,440,411,435,422,363,336,397,284,216,183
124,70939,Broadway,West 174 St,West 175 St,NB,09/21/2019,224,142,111,63,80,80,113,147,130,188,201,319,401,367,374,317,326,411,346,296,257,217,228,187
124,70939,Broadway,West 174 St,West 175 St,SB,09/21/2019,233,190,147,110,94,104,172,237,219,279,358,413,375,375,410,344,284,271,357,302,248,232,229,293
143,74501,Caldwell Avenue,72 Street,74 Street,WB,09/21/2019,71,49,12,11,18,51,130,132,97,144,177,260,277,255,269,287,292,275,270,240,153,118,109,91
161,22219,Clinton Street,Sackett Street,Union Street,NB,09/21/2019,75,31,42,14,20,47,83,135,218,274,241,242,293,246,343,327,346,301,283,247,208,141,136,133
162,15047,Clove Rd,Neckar Ave,Weser Ave,EB,09/21/2019,17,44,81,125,150,199,205,219,233,252,227,234,228,200,181,176,121,101,97,83,38,20,27,14
162,15047,Clove Rd,Neckar Ave,Weser Ave,WB,09/21/2019,67,43,23,26,22,60,70,166,207,218,260,277,249,288,243,293,257,278,203,192,170,140,127,98
163,157129,College Point Beoulevard,Dead End,Botanical Garden Bridge,NB,09/21/2019,193,108,56,61,104,157,380,595,675,691,679,720,756,853,708,914,951,964,881,771,634,490,360,233
163,156916,College Point Boulevard,Dead End,Botanical Grdn Bridge,SB,09/21/2019,240,188,111,131,181,174,294,624,818,956,1026,1057,1127,1140,1136,1132,1163,1129,1026,944,848,862,710,517
164,22023,Columbia Street,Kane Street,Irving Street,NB,09/21/2019,28,21,10,10,9,17,38,74,101,157,221,262,272,301,328,344,293,261,206,185,116,69,31,37
164,22023,Columbia Street,Kane Street,Irving Street,SB,09/21/2019,47,47,43,25,35,28,56,70,177,255,202,169,187,207,194,171,185,286,280,268,201,163,110,120
175,22409,Court Street,De Graw Street,Sackett Street,SB,09/21/2019,173,185,129,65,63,68,89,140,283,431,482,472,477,441,500,567,492,621,540,472,366,346,309,300
204,157208,Francis Lewis Boulevard,Dead End,Dead End,EB,09/21/2019,63,43,27,22,18,36,81,184,410,434,533,596,692,584,517,573,538,555,468,350,299,209,148,112
208,96010,Fresh Meadow Lane,Horace Harding Expressway Sr. S,65 Avenue,NB,09/21/2019,3,3,0,3,5,8,30,43,70,76,77,88,94,73,75,66,46,44,33,21,21,20,20,13
208,96010,Fresh Meadow Lane,Horace Harding Expressway Sr. S,65 Avenue,SB,09/21/2019,31,26,16,15,16,9,26,43,68,92,93,114,87,99,93,120,105,86,112,63,67,83,62,48
209,21399,Ft Hamilton Parkway,Chester Avenue,36 Street,NB,09/21/2019,224,116,102,92,94,127,213,348,405,459,553,488,488,564,513,589,603,575,621,608,510,379,355,375
209,21399,Ft Hamilton Parkway,Chester Avenue,36 Street,SB,09/21/2019,285,176,124,112,69,135,244,290,309,391,459,458,499,563,481,598,559,572,693,571,595,568,398,445
210,19555,Ft Hamilton Parkway,67 Street,68 Street,NB,09/21/2019,183,50,61,55,56,102,278,387,567,647,605,623,637,642,613,593,591,587,735,503,506,528,470,424
210,19555,Ft Hamilton Parkway,67 Street,68 Street,SB,09/21/2019,173,74,50,24,43,65,131,191,288,345,483,556,478,552,555,540,543,565,505,525,508,455,396,286
223,182686,Hewlett Street,Dead end,Union Turnpike,NB,09/21/2019,122,39,42,35,42,119,251,360,504,551,658,702,718,694,684,632,621,596,537,448,298,301,219,202
223,182686,Hewlett Street,Dead End,Union Turnpike,SB,09/21/2019,167,74,38,29,26,54,126,304,381,444,505,578,652,624,593,581,538,423,414,426,368,284,243,233
224,22227,Hicks Street,Kane Street,De Graw Street,NB,09/21/2019,164,113,70,48,28,58,131,252,377,454,418,523,597,620,650,770,721,757,775,767,570,534,327,288
224,22221,Hicks Street,Kane Street,De Graw Street,SB,09/21/2019,44,35,31,10,14,25,41,77,120,195,194,158,159,169,166,202,196,243,248,204,139,94,95,91
231,114869,Hylan Blvd South,Olga Pl,Olga Pl,NB,09/21/2019,182,131,84,67,85,198,333,438,607,662,692,642,722,676,650,675,694,622,613,573,414,384,300,341
231,14422,Steuben St,Hylan Blvd North,Olga Place,SB,09/21/2019,354,227,159,127,85,115,229,420,533,566,639,701,841,774,716,752,745,688,786,662,567,436,461,473
232,14602,Hylan Blvd.,Fingerboard Rd,Dead End,NB,09/21/2019,96,69,40,30,47,143,243,303,346,407,368,369,409,390,408,423,398,346,316,294,257,195,214,183
232,14602,Hylan Blvd.,Fingerboard St.,Dead End,SB,09/21/2019,153,79,42,35,17,19,50,146,196,219,239,293,324,327,395,350,421,373,385,312,303,260,206,228
233,152334,Hylan Boulevard,Ebbitts Street,Dead end,NB,09/21/2019,368,232,118,61,66,84,177,367,561,768,1024,1095,1208,1183,1336,1183,1195,1111,954,886,703,575,536,575
233,155338,Hylan Boulevard,Allison Avenue,Princeton Avenue,SB,09/21/2019,147,106,64,75,127,290,432,511,752,1084,1117,1188,1216,1157,1144,1004,1040,1001,964,795,548,409,394,293
235,52940,Jamaica Avenue,101 Street,102 Street,EB,09/21/2019,77,62,55,54,45,46,55,70,129,175,186,220,240,209,217,238,251,223,180,200,173,156,138,128
235,52940,Jamaica Avenue,101 Street,102 Street,WB,09/21/2019,105,118,57,66,53,70,88,119,187,231,223,260,284,299,302,312,332,351,287,264,216,182,178,181
240,9007483,Kissena Boulevard,Dead end,Melbourne Avenue,NB,09/21/2019,104,88,59,71,44,89,154,244,394,431,416,492,446,440,406,439,364,393,374,382,317,302,263,208
240,9007488,Kissena Boulevard,Dead End,Melbourne Ave.,SB,09/21/2019,79,97,62,61,73,61,111,252,462,417,434,432,476,445,472,463,497,437,426,499,403,326,309,226
244,57167,Lakewood Avenue,Inwood Street,Princeton Street,EB,09/21/2019,43,43,25,27,27,18,55,61,100,122,104,120,149,159,163,143,193,170,170,128,121,108,71,90
244,57167,Lakewood Avenue,Inwood Street,Princeton Street,WB,09/21/2019,33,44,14,30,14,18,38,49,55,70,127,102,134,125,126,114,133,122,112,107,77,99,67,57
262,9005244,Manor Road,Dead end,Dead end,NB,09/21/2019,90,43,32,25,31,60,121,228,357,433,398,467,518,509,474,524,484,409,421,315,262,193,204,131
262,9005244,Manor Road,Dead end,Dead end,SB,09/21/2019,67,49,19,30,13,34,90,166,257,300,322,444,476,476,492,432,435,402,343,277,224,164,144,121
277,275873,Myrtle Avenue,Freedom Drive,Memorial Drive,EB,09/21/2019,129,87,80,44,43,45,74,120,197,218,244,229,251,305,330,362,395,360,354,357,261,201,179,131
277,275873,Myrtle Avenue,Freedom Drive,Memorial Drive,WB,09/21/2019,42,23,24,27,38,66,77,140,146,209,198,246,212,224,210,227,196,201,172,177,160,113,98,78
286,97309,Northern Boulevard,191 Street,192 Street,EB,09/21/2019,218,107,113,74,84,129,222,402,709,865,889,969,1018,951,1011,996,961,933,949,819,704,617,502,372
286,97309,Northern Boulevard,191 Street,192 Street,WB,09/21/2019,178,90,79,73,71,146,321,509,801,957,983,997,999,1017,1004,916,1004,1021,979,885,691,560,461,327
287,98008,Northern Boulevard,Oceania Street,Corporal Kennedy Street,EB,09/21/2019,185,116,93,60,70,120,217,443,724,918,976,1013,1150,1116,1032,1059,1048,1092,1214,830,686,559,426,315
287,98008,Northern Boulevard,Oceania Street,Corporal Kennedy Stret,WB,09/21/2019,169,113,83,83,61,104,209,317,521,695,748,743,885,834,802,802,817,754,824,667,587,457,423,349
288,27577,Nostrand Avenue,Avenue P,Stuart Street,NB,09/21/2019,109,77,51,43,40,51,111,191,219,236,278,296,308,344,356,424,351,403,457,365,361,294,240,204
288,27577,Nostrand Avenue,Avenue P,Stuart Street,SB,09/21/2019,87,81,69,47,34,57,101,165,225,249,316,296,312,357,421,364,388,401,440,408,438,273,260,202
295,12946,Ocean Terrace,Dead End,Milford Dr,NB,09/21/2019,45,30,12,7,5,16,29,124,148,180,209,234,259,217,231,249,222,216,219,168,152,145,129,111
295,12946,Ocean Terrace,Dead End,Milford Dr,SB,09/21/2019,44,14,12,3,2,6,23,67,98,117,130,155,167,168,148,177,155,156,160,140,77,83,72,76
301,91425,Parsons Boulevard,37 Avenue,38 Avenue,NB,09/21/2019,70,52,40,31,37,72,93,150,283,301,280,248,262,279,227,240,219,252,196,217,233,182,134,125
301,91425,Parsons Boulevard,37 Avenue,38 Avenue,SB,09/21/2019,175,124,84,53,72,64,135,206,320,323,349,379,414,402,380,396,391,426,360,433,406,292,317,243
308,149278,Richmond Ave,Yukon Ave,Dead End,SB,09/21/2019,227,111,66,69,72,70,134,308,521,622,1046,1248,1299,1513,1462,1461,1536,1197,1002,749,429,265,283,228
308,155290,Richmond Ave,Yukon Ave,Yukon Ave,NB,09/21/2019,421,228,111,66,101,96,174,315,499,845,1075,1337,1511,1522,1453,1451,1764,1566,1183,1078,957,767,572,498
309,112431,Richmond Rd,Clove Rd,Dead End,SB,09/21/2019,335,217,146,98,67,67,99,118,191,348,395,528,550,578,613,537,525,506,499,481,439,371,352,305
309,111985,Richmond Rd,Clove Rd,Dead End,SB,09/21/2019,358,244,120,112,28,52,64,202,398,612,667,650,695,684,605,589,546,604,535,581,544,436,426,397
326,98540,Springfield Boulevard,219 Street,46 Avenue,NB,09/21/2019,23,9,10,5,8,12,24,49,83,120,140,117,119,135,145,118,116,97,115,81,62,43,44,25
326,98540,Springfield Boulevard,219 Street,46 Avenue,SB,09/21/2019,41,17,13,12,8,13,25,53,111,135,146,175,150,186,198,176,160,153,172,121,121,78,81,57
327,101166,Springfield Boulevard,64 Ave,67 Ave,NB,09/21/2019,29,27,20,15,18,27,82,133,251,285,241,268,263,288,244,214,226,196,205,141,101,90,82,44
327,101166,Springfield Boulevard,64 Avenue,67 Avenue,SB,09/21/2019,55,48,28,25,20,20,51,117,174,232,238,253,300,286,288,265,237,221,202,220,178,158,142,87
330,70957,St Nicholas Ave,Broadway/ 7 Ave Line,Broadway/ 7 Ave Line,NB,09/21/2019,222,220,188,125,116,104,78,121,196,192,246,398,320,299,342,329,318,343,345,319,297,291,233,260
330,70957,St Nicholas Ave,Broadway / 7 Ave Line,Broadway / 7 Ave Line,SB,09/21/2019,173,182,105,156,147,90,96,134,169,147,230,283,283,220,283,266,232,274,257,266,230,213,235,197
336,50660,Sutter Avenue,Hemlock Street,Autumn Avenue,WB,09/21/2019,154,113,108,62,73,74,152,239,207,297,293,372,380,445,434,537,595,445,493,388,360,316,308,250
337,114825,Targee St,Columbus Ave,Richmond Rd,NB,09/21/2019,249,166,71,55,110,186,295,487,625,795,791,859,923,958,805,854,737,784,760,608,536,427,465,395
342,156721,Union Turnpike,196 Street,196 Place,EB,09/21/2019,57,32,18,8,6,22,47,112,178,249,281,331,395,393,337,421,326,310,445,265,185,190,123,99
342,145421,Union Turnpike,Dead end,Dead end,WB,09/21/2019,37,32,14,8,15,26,72,149,266,319,366,351,390,414,539,934,523,426,439,328,257,185,120,93
343,156045,Utopia Parkway,Dead End,45 Avenue,NB,09/21/2019,70,30,40,24,22,39,100,229,293,332,405,391,407,406,335,404,397,360,309,287,270,236,189,209
343,152386,Utopia Parkway,Dead End,45 Avenue,SB,09/21/2019,145,75,48,41,36,39,106,225,313,356,376,446,566,572,508,521,555,478,443,408,313,286,271,180
345,112566,Van Duzer St,Broad St,Jake Court,SB,09/21/2019,196,105,71,69,54,87,189,207,288,362,356,408,401,421,471,371,381,402,410,385,335,325,287,309
350,160109,Victory Boulevard,South Gannon Avenue,Dr M L King Ep Nb En Victory Bl,EB,09/21/2019,367,192,125,108,96,232,369,618,875,918,1146,1195,1245,1161,950,1115,1050,1205,1092,1165,778,516,495,446
350,160109,Victory Boulevard,South Gannon Avenue,Dr M L King Ep Nb En Victory Bl,WB,09/21/2019,269,158,92,70,78,119,233,467,783,988,984,1284,1316,1297,1272,1086,1079,1012,911,690,605,496,433,360
367,218038,Woodrow Road,Dead End,Everton Avenue,NB,09/21/2019,50,35,17,9,7,20,38,70,133,186,257,263,282,257,264,249,245,275,234,183,144,100,104,72
367,218038,Woodrow Road,Dead end,Everton Avenue,SB,09/21/2019,29,19,10,8,8,13,23,54,101,126,157,154,171,162,198,177,158,216,167,115,116,76,60,52
369,103545,Woolley Aveneue,Westwood Avenue,Dawson Street,SB,09/21/2019,195,114,63,47,44,64,133,242,290,391,499,547,569,582,682,561,601,568,520,490,384,322,302,280
369,103545,Woolley Avenue,Westwood Avenue,Dawson Street,NB,09/21/2019,137,76,38,27,45,134,216,330,398,404,472,487,495,511,483,543,492,536,543,475,376,357,309,213
17,96671,188 Street,Rio Drive,Henley Road,NB,09/22/2019,226,153,114,89,126,164,256,259,356,458,612,494,637,569,623,542,446,491,496,514,366,295,276,169
17,96671,188 Street,Rio Drive,Henley Road,SB,09/22/2019,323,194,193,104,122,88,101,194,259,306,351,363,369,444,473,509,534,541,536,483,467,360,300,275
23,117242,200 Street,36 Avenue,Francis Lewis Boulevard,NB,09/22/2019,22,9,3,6,11,14,26,23,30,38,63,79,80,63,66,57,75,42,52,44,41,21,21,14
27,98876,26 Avenue,201 Street,202 Street,EB,09/22/2019,39,28,11,14,16,27,44,95,140,227,283,335,361,338,369,290,291,279,213,194,143,116,78,40
27,98876,26 Avenue,201 Street,202 Street,WB,09/22/2019,56,31,16,9,11,10,33,87,151,221,267,269,304,331,332,303,294,338,250,243,156,136,77,45
40,97492,35 Avenue,Francis Lewis Boulevard,200 Street,EB,09/22/2019,78,51,28,14,22,24,45,107,156,283,335,357,347,373,381,327,363,308,263,198,176,132,106,48
40,97492,35 Avenue,Francis Lewis Boulevard,200 Street,WB,09/22/2019,101,63,37,21,24,26,70,142,214,366,432,404,464,486,447,407,433,419,362,319,258,187,162,94
41,97525,35 Avenue,203 Street,204 Street,EB,09/22/2019,101,73,19,18,34,32,59,139,209,381,426,434,423,478,511,385,467,352,336,265,184,170,147,47
41,97525,35 Avenue,203 Street,204 Street,WB,09/22/2019,90,58,39,27,28,18,54,122,257,324,413,360,426,440,415,379,405,378,326,264,249,165,139,96
42,21331,37 Street,12 Avenue,13 Avenue,EB,09/22/2019,67,38,41,26,28,33,47,80,127,150,176,187,224,217,201,229,219,195,185,222,168,163,165,100
43,21327,39 Street,12 Avenue,13 Avenue,EB,09/22/2019,62,23,28,27,21,33,34,58,86,103,127,144,148,166,151,152,160,145,179,135,128,103,78,71
43,21327,39 Street,12 Avenue,13 Avenue,WB,09/22/2019,40,22,26,19,13,28,31,54,102,97,128,146,106,146,117,181,156,137,139,106,99,83,80,46
47,97302,45 Avenue,192 Street,193 Street,WB,09/22/2019,13,11,10,5,8,7,10,19,29,58,69,72,80,87,62,72,62,87,71,74,55,29,29,14
47,97302,45 Avenue,192 Street,193 Street,EB,09/22/2019,21,20,6,11,11,11,18,50,72,104,118,108,121,131,97,115,126,100,95,88,72,59,34,23
49,21164,49 Street,12 Avenue,13 Avenue,WB,09/22/2019,87,35,10,6,21,16,25,41,92,180,231,259,203,231,231,208,200,214,213,215,144,116,179,94
55,28923,5 Avenue,Douglass Street,De Graw Street,NB,09/22/2019,172,124,109,78,64,45,94,106,146,186,255,291,332,299,336,266,296,310,241,224,197,143,130,114
56,21148,50 Street,New Utecht Avenue,13 Avenue,EB,09/22/2019,88,43,30,17,4,27,28,66,81,127,166,171,178,180,182,207,188,188,176,175,140,168,110,82
63,19805,60 Street,11 Avenue,12 Avenue,EB,09/22/2019,56,43,46,42,40,40,63,113,175,217,250,278,283,305,306,297,310,304,237,290,228,203,164,165
63,19805,60 Street,11 Avenue,12 Avenue,WB,09/22/2019,130,138,49,42,53,50,68,106,194,269,230,254,270,254,245,338,253,193,213,195,149,120,99,115
65,81815,63 Drive,Wetherole St.,Booth Street,NB,09/22/2019,156,129,64,45,48,44,77,136,232,348,372,402,357,372,354,326,288,385,332,320,311,205,180,150
65,81815,63 Drive,Wetherole St.,Booth Street,SB,09/22/2019,66,41,27,20,15,13,29,31,71,116,183,177,221,190,228,219,182,220,209,185,188,114,83,56
66,19566,65 Street,10 Avenue,11 Avenue,EB,09/22/2019,465,372,286,210,148,168,185,267,484,530,641,694,787,740,856,994,974,854,802,820,754,865,601,464
66,19566,65 Street,10 Avenue,11 Avenue,WB,09/22/2019,199,106,115,123,168,382,679,1078,1215,925,916,771,850,707,802,803,844,795,866,740,658,813,676,440
67,20157,65 Street,18 Avenue,19 Avenue,EB,09/22/2019,323,206,142,137,124,87,100,214,351,392,446,607,636,617,644,657,709,720,690,708,695,645,429,257
67,20157,65 Street,18 Avenue,19 Avenue,WB,09/22/2019,238,149,110,80,83,106,142,333,493,595,647,758,832,676,656,641,655,554,503,437,333,256,263,204
71,96615,73 Avenue,194 Street,195 Street,WB,09/22/2019,46,33,24,14,7,16,39,75,112,182,248,272,288,304,346,319,304,280,246,213,119,123,82,40
71,96615,73 Avenue,194 Street,195 Street,EB,09/22/2019,33,23,13,8,7,14,20,64,94,152,172,197,265,249,242,226,191,224,163,153,107,90,52,38
75,19461,8 Avenue,67 Street,68 Street,NB,09/22/2019,62,48,27,31,24,31,41,113,259,315,298,299,323,235,194,236,303,167,191,269,129,110,125,84
75,19461,8 Avenue,67 Street,68 Street,SB,09/22/2019,89,67,33,33,35,32,30,74,174,275,263,323,223,303,255,266,291,220,168,210,182,170,143,133
77,52297,80 Street,68 Avenue,68 Road,NB,09/22/2019,98,79,60,29,24,44,107,116,220,280,351,370,406,455,445,399,412,386,412,307,250,182,129,89
77,52297,80 Street,68 Avenue,68 Road,SB,09/22/2019,204,101,84,55,55,61,71,129,239,335,393,532,544,629,543,570,577,599,547,495,414,343,237,167
82,112136,Amboy Road,3 Street,Dale Ave,NB,09/22/2019,154,94,64,26,46,63,127,184,239,364,392,458,465,481,491,425,403,394,409,278,308,214,177,120
